ProjectId,ProjectName,Title,Description,Role
93128,UXBOX,[Front]: Layers & Canvas rendering foundation.,,Product Owner
93128,UXBOX,[Front]: Internationalization foundation.,,Product Owner
93128,UXBOX,[Front]: Filter and sort projects (in the dashboard projects page).,,Dev
93128,UXBOX,[Front]: Delete project,,Dev
93128,UXBOX,[Front]: State management foundation.,,Product Owner
93128,UXBOX,[Front]: Basic navigation and project structure.,,Product Owner
93128,UXBOX,[Front]: Library: colors collection section.,,Product Owner
93128,UXBOX,[Front]: Library: icons collection (builtin).,,Product Owner
93128,UXBOX,[Design]: Layouts and grouping foundation.,,Product Owner
93128,UXBOX,[Design]: Document history foundation.,"The user has to be allowed to check and navigate through all the document versions automatically generated.This history will be shown as a tooltip. Each listed element will be the date and the hour of the document version.The user could mark with a ""pin"" or checkpoint the document version of its choice and go back to it at any moment.This ""pins"" will be shown as a list in a different section of the history tooltip.The ""pins"" could be renamed and deleted by the user.The whole document history will be kept in groups to save disc space at the BBDD.UX: https://github.com/uxbox/ux/blob/master/src/drawing-tools/document-history.pdf",Product Owner
93128,UXBOX,[Front]: Groups and grouped shapes rendering foundation.,,Product Owner
93128,UXBOX,[Front]: Basic keyboard actions on selected shapes.,"That implies:- Move selected shape using keyboard for precision postion management.- Remove the selected shape/shapes using SUPR key.- ~~Copy/Cut/Paste selected shape using Ctrl+c, Ctrl-x and Ctrl+v.~~",Product Owner
93128,UXBOX,[Design]: Clipboard management.,Would be awesome to have:- Some toolbox (project/page independent) when will appear all objects that the user copy/cut.- That toolbox would be awesome that it will be able to handle multiple objects. The user should will be able copy one object in some time and copy other object and other time and the clipboard will conserve the both objects.- The user should be able select that object of the clipboard want to paste in the current workspace.- The clipboard surelly should be limited to 5 reasobable number of elements and surelly behave like a circular stack.More ideas are welcome.UX: https://github.com/uxbox/ux/blob/7e7cc7ddf1826d102ec3ca29251b4b6c78a68238/src/drawing-tools/clipboard-management.pdf,Product Owner
93128,UXBOX,[Front]: Clip board management.,This depends on #16,Product Owner
93128,UXBOX,[Front]: Most used colors widget.,Notes:- Should visualize the most used 5 colors in the current page/project.- It can be easily calculated analyzing all shapes and extract the most used colors.,Product Owner
93128,UXBOX,[Layout]:  Color picker on library for color creation/modification.,,Product Owner
93128,UXBOX,[Front]: Color picker on library for color creation/modification.,,Product Owner
93128,UXBOX,[Layout]: Color picker on shape options.,,Product Owner
93128,UXBOX,[Front]: Color picker on shape options.,,Product Owner
93128,UXBOX,[Front]: Color palette on workspace (simple version).,,Product Owner
93128,UXBOX,[Front]: refactor lenses naming,,Product Owner
93128,UXBOX,[Front]: refactor rum usage (just for mixings and helpers location),,Product Owner
93128,UXBOX,[Layout]: Shape resize controls (improvement).,Location: uxbox/ui/workspace/selrect.cljs: shape-render function.,Product Owner
93128,UXBOX,[Front]: Slider animation on colorpalette.,"When close: add to "".color-palette"" the class "".fade-out-down"" to create the close animation.",Dev
93128,UXBOX,[Front]: Stroke color change with colorpalette (using shift meta key).,,Product Owner
93128,UXBOX,[Front]: Improved element options for icon/line/rect/circle.,,Product Owner
93128,UXBOX,[Front]: Draw line shape.,,Product Owner
93128,UXBOX,[Front]: Draw circle shape.,,Product Owner
93128,UXBOX,[Front]: Draw text shape.,"The missing:- A list of values for `font-family` http://www.w3schools.com/cssref/css_websafe_fonts.asp- A list of values for `font-weight` These values depend of the font. Basically they are normal, italic, bold, black and light.- A layot and icons for text alignment- Fix the style of element options for text element.",Product Owner
93128,UXBOX,[Front]: Basic interaction of layers toolbox.,"There are 3 css classes for the Drag & Drop interaction to apply to ""element-list-body"":- drag-top (move a shape/group above another shape/group)- drag-bottom (move a shape/group below another shape/group)- drag-inside (put a shape/group inside an existing group)UX: https://github.com/uxbox/ux/blob/master/src/drawing-tools/layers-groups.pdf",Product Owner
93128,UXBOX,[Layout] See layers/groups like a tree in the layers toolbox.,"At this moment, the layers toolbox shows groups and groups inside groups all at the same level, ant it makes a lot of confusion. Would be awesome see some nesting for items and groups inside of other groups.",Product Owner
93128,UXBOX,[Front]: Color picker improvement,- fix element options color picker img- add RGB input- add color picker current marker label- Black or White? bugExamplehttp://www.daviddurman.com/flexi-color-picker/#,Product Owner
93128,UXBOX,[Epic*]: Backend foundation,,Product Owner
93128,UXBOX,[Epic*]: Interactions,UX: https://github.com/uxbox/ux/blob/master/src/interaction/interaction.pdfNotes:- This library can be used in order to make interactions in the view app: https://github.com/juliangarnier/anime,Product Owner
93128,UXBOX,Dynamic alignment,"Consists in alignment with other shapes instead of grid.Technical details:- Use two interval trees, one for vertical other for horizontal ponts of reference (already implemented).- Initialize the tree in the worker app on workspace is loaded.",Product Owner
93128,UXBOX,Export project as zip with svg's,"The US consists in:- The user should be able to download a bundle with raw rendered SVG's of selected page.- The user should be able to download one unique raw SVG of the selected page (see the save button on view application).UI consists mainly in uxbox on workspace with:- a couple or three radio buttons allowing the user select the kind of export (the current page, zip file with raw svgs, a navigable with statically generated htmls, an interactive application with animations and transitions) (this US consists only to implement the zip file export).- a some kind multiselect where the user can select the pages (this is only be visible if no ""current page"" is selected from previous point).Technical details: consists in statically render all the pages svgs and put them in one zip the [jszip](https://stuk.github.io/jszip/) can be used to create the zip file in the frontend.Technical notes:- The same business logic should be used for save the selected page as raw svg (without the need to zip packaging).",Product Owner
93128,UXBOX,[Layout]: Create elements,,Product Owner
93128,UXBOX,[Front]: Grid settings,,Product Owner
93128,UXBOX,[Design]: Grid settings,,Product Owner
93128,UXBOX,[Front]: Ruler tool,,Product Owner
93128,UXBOX,[Layout]: Loaders & transitions,"For the full page loader (transitions between dashboard and projects etc...)This loader go centered in a full white bg page or lightboxhttp://codepen.io/elhombretecla/full/ZWvrqr/For the mircointeraction loader (save action, load small stuff, etc...)",Product Owner
93128,UXBOX,[Design]: Pages CRUD lightbox,"This lighbox is the same as the create project lightbox. It will be appear clicking on the ""+ Add page"" button.It allows the user to create a new page with any size. By default it will be filled by the current page size data but it could be changed by the user to any size.This lightbox appears at Create & Edit functions.![Your alternative text to picture here...](https://media.taiga.io/attachments/6/6/1/f/a45b828a0a7e8f75dc0e2b8a4d125efe7168ed2a1098dfea4bc42b5e97cf/301-add-page.png """")",Product Owner
93128,UXBOX,[Front]: Draw rect shape,,Product Owner
93128,UXBOX,"[Layout]: ""Organize"" toolbox on workspace.",-,Product Owner
93128,UXBOX,[Design] Favicon.,"Here is the favicon img to use at the <head>![Your alternative text to picture here...](https://media.taiga.io/attachments/b/a/3/2/831c48db60429c07a9d4134c488d0bf91e3b634be117190f1be4db6fc283/favicon.png """")",Product Owner
93128,UXBOX,[Design]: Project main web page.,"Create a very first version of the UXBOX web page that will be operative till August. Its objective is to communicate the basic UXBOX features and to keep the user informed about all the development workaround.Later in time, when we are in beta, this web page will be completed with more sections and functions:- Features- Pricing- Explore- Blog- Enterprise- Login- Sign up",Product Owner
93128,UXBOX,[Sysops]: Add docker development environment.,,Product Owner
93128,UXBOX,[Front]: Generic confirmation lightbox.,Just a simple lightbox that ask for ok/cancel.The placeholder template is on `uxbox/ui/confirm.cljs` and you can open it just clicking on `image` boton on workspace.,Product Owner
93128,UXBOX,[Bug]: Recent colors does not works with rects and (maybe with other shapes).,,Product Owner
93128,UXBOX,[Bug]: Svg render on layers toobox should always be in the same tone (without colors).,This only affects to icon rendering because the rest of shapes are rendered statically using an icon.,Product Owner
93128,UXBOX,[Bug]: The selrect should not select groups and its children when group is blocked.,- It should select only a group and not it childs if the group is blocked.- It should selects only childs and not the group if group is not blocked.,Dev
93128,UXBOX,[Bug] The layers toolbox elements order should be inverted.,,Product Owner
93128,UXBOX,[Front]: Basic support for path.,,Product Owner
93128,UXBOX,[Front]: Move faster the shapes with direction keys when shift is pressed.,,Product Owner
93128,UXBOX,[Front]: Ruler improvements,file: workspace/canvas/ruler.cljs,Product Owner
93128,UXBOX,[Front] Duplicate shape (in layers toolbox and in canvas) can be done using Ctrl+D shortcut.,,Product Owner
93128,UXBOX,"[Front]: Imanted mode (with Ctrl) for circle, rect.",The line should be omited because it will be refactored into polyline.,Product Owner
93128,UXBOX,"[Front]: Change multiselect key to ""Shift""",,Product Owner
93128,UXBOX,[Design] Redesign new element options,"The UI needs to be redesigned because of the element options popup are not enough worth.Redistribute all the options and tools between 2 zones:- Left UI zone: It will show all the ""organization"" tools of the project like sitemap, layers and document history.- Right UI zone: It will show all the shape modifiers tools like size, position, color, text, icons, element (widgets)...![Your alternative text to picture here...](https://media.taiga.io/attachments/6/8/7/3/c285ef8d5a0fb646bfa614d4aa0965abe077574dfa03aaabbc2ffaa480e1/100-new-ui.png """")",Product Owner
